,tweet_id,retweet_count,favorite_count,retweeted,followers_count,friends_count
0,892420643555336193,7366,35021,False,8969230,17
1,892177421306343426,5491,30334,False,8969230,17
2,891815181378084864,3630,22802,False,8969230,17
3,891689557279858688,7535,38268,False,8969230,17
4,891327558926688256,8133,36546,False,8969230,17
5,891087950875897856,2721,18433,False,8969230,17
6,890971913173991426,1762,10724,False,8969230,17
7,890729181411237888,16498,58937,False,8969230,17
8,890609185150312448,3774,25391,False,8969230,17
9,890240255349198849,6393,28947,False,8969230,17
10,890006608113172480,6415,27946,False,8969230,17
11,889880896479866881,4354,25404,False,8969230,17
12,889665388333682689,8751,43606,False,8969230,17
13,889638837579907072,3907,24496,False,8969230,17
14,889531135344209921,1968,13807,False,8969230,17
15,889278841981685760,4647,22865,False,8969230,17
16,888917238123831296,3916,26483,False,8969230,17
17,888804989199671297,3705,23246,False,8969230,17
18,888554962724278272,3016,17928,False,8969230,17
19,888078434458587136,3037,19819,False,8969230,17
20,887705289381826560,4719,27549,False,8969230,17
21,887517139158093824,10288,42137,False,8969230,17
22,887473957103951883,15712,62381,False,8969230,17
23,887343217045368832,9219,30580,False,8969230,17
24,887101392804085760,5216,27891,False,8969230,17
25,886983233522544640,6673,31594,False,8969230,17
26,886736880519319552,2777,10874,False,8969230,17
27,886680336477933568,3918,20456,False,8969231,17
28,886366144734445568,2765,19201,False,8969231,17
29,886267009285017600,3,108,False,8969231,17
30,886258384151887873,5528,25446,False,8969231,17
31,886054160059072513,96,0,False,8969231,17
32,885984800019947520,5868,29611,False,8969231,17
33,885528943205470208,5584,32708,False,8969231,17
34,885518971528720385,3265,18625,False,8969231,17
35,885311592912609280,16164,0,False,8969231,17
36,885167619883638784,3828,19910,False,8969231,17
37,884925521741709313,15788,69829,False,8969231,17
38,884876753390489601,4888,25288,False,8969231,17
39,884562892145688576,4106,22101,False,8969231,17
40,884441805382717440,4983,24679,False,8969231,17
41,884247878851493888,17762,65817,False,8969231,17
42,884162670584377345,2616,18552,False,8969231,17
43,883838122936631299,2988,19865,False,8969231,17
44,883482846933004288,8640,41659,False,8969231,17
45,883360690899218434,3220,20630,False,8969231,17
